sep=|
Title|Author|Year|Category|Genre|ID|Status|Date Added|Borrower Name|Date Borrowed|Due Date
The Sun Also Rises|Neil Gaiman|2018|Non-Fiction|Health|1|0|2026-01-26|Alice Smith|2026-05-12|2026-05-19
The Secret History|George RR Martin|1955|Fiction|Mystery|2|0|2026-03-27|Fiona Gallagher|2026-05-12|2026-05-19
Blood Meridian|George RR Martin|1938|Non-Fiction|Travel|3|1|2026-03-20|||
Wuthering Heights|Neil Gaiman|1929|Non-Fiction|Philosophy|4|1|2026-05-06|||
Deep Work|Donna Tartt|1972|Non-Fiction|TrueCrime|5|1|2025-11-06|||
Good Omens|Aldous Huxley|1987|Non-Fiction|Philosophy|6|0|2026-04-02|Fiona Gallagher|2026-05-12|2026-05-19
Foundation|Barbara Kingsolver|1974|Non-Fiction|Biography|7|0|2025-10-25|Edward Norton|2026-04-22|2026-04-29
The Blade Itself|Liane Moriarty|1901|Non-Fiction|Philosophy|8|1|2025-10-10|||
To Kill a Mockingbird|Ray Bradbury|1958|Fiction|Other|9|0|2025-08-08|Fiona Gallagher|2026-05-12|2026-05-19
The Blade Itself|Daniel Kahneman|1984|Non-Fiction|Religion|10|0|2026-03-22|Diana Prince|2026-05-12|2026-05-19
A Tale of Two Cities|Ursula K Le Guin|1969|Non-Fiction|Education|11|1|2026-03-16|||
The Brothers Karamazov|Taylor Jenkins Reid|1936|Non-Fiction|Psychology|12|0|2025-08-30|Charlie Brown|2026-05-12|2026-05-19
The Glass Castle|Kurt Vonnegut|1948|Non-Fiction|Education|13|1|2025-05-13|||
The Name of the Wind|Dan Brown|1934|Fiction|Romance|14|0|2025-06-02|Diana Prince|2026-05-12|2026-05-19
Alias Grace|Patrick Rothfuss|1997|Fiction|YoungAdult|15|1|2025-10-04|||
Gone Girl|Dan Brown|1947|Non-Fiction|Science|16|1|2025-12-19|||
Neverwhere|Cormac McCarthy|1995|Non-Fiction|Religion|17|1|2026-05-11|||
Deep Work|Taylor Jenkins Reid|1935|Fiction|Action|18|0|2025-06-14|Diana Prince|2026-05-12|2026-05-19
Life of Pi|George Orwell|1949|Non-Fiction|TrueCrime|19|0|2026-03-31|Alice Smith|2026-05-12|2026-05-19
Animal Farm|Emily Bronte|1943|Non-Fiction|Autobiography|20|1|2026-03-26|||
Angels and Demons|CS Lewis|1994|Fiction|Crime|21|1|2026-01-18|||
Dark Places|Joe Abercrombie|1954|Non-Fiction|History|22|1|2026-03-09|||
The Kite Runner|Hanya Yanagihara|2015|Fiction|YoungAdult|23|1|2026-01-13|||
Circe|Stieg Larsson|1972|Fiction|Horror|24|1|2025-08-28|||
Deep Work|Andy Weir|1917|Non-Fiction|Health|25|1|2026-03-15|||
The Hunting Party|Homer|2022|Fiction|Thriller|26|1|2025-11-17|||
Moby Dick|Carl Sagan|1975|Non-Fiction|Philosophy|27|0|2026-03-30|George Costanza|2026-04-22|2026-04-29
Normal People|Herman Melville|1942|Non-Fiction|Politics|28|1|2025-06-23|||
The Sun Also Rises|CS Lewis|1941|Non-Fiction|Autobiography|29|0|2026-02-18|Charlie Brown|2026-05-12|2026-05-19
To Kill a Mockingbird|Tara Westover|1904|Fiction|HistoricalFiction|30|1|2025-05-26|||
The Book Thief|George RR Martin|1930|Non-Fiction|History|31|1|2026-02-21|||
Wuthering Heights|Kurt Vonnegut|1941|Fiction|Fantasy|32|1|2026-04-17|||
Inferno|William Gibson|2002|Fiction|Drama|33|0|2025-08-31|Charlie Brown|2026-05-12|2026-05-19
The Grapes of Wrath|Gillian Flynn|1923|Non-Fiction|Philosophy|34|0|2025-07-20|Bob Jones|2026-05-12|2026-05-19
Homo Deus|Alex Michaelides|1968|Fiction|YoungAdult|35|0|2025-07-21|Alice Smith|2026-05-12|2026-05-19
Stardust|Joe Abercrombie|1971|Non-Fiction|Biography|36|0|2025-11-25|Alice Smith|2026-05-12|2026-05-19
Wuthering Heights|Herman Melville|1999|Non-Fiction|Autobiography|37|1|2025-05-29|||
Grit|Joe Abercrombie|1940|Fiction|SciFi|38|1|2026-03-12|||
The Way of Kings|Sally Rooney|1987|Non-Fiction|Education|39|1|2025-12-13|||
Good Omens|Ursula K Le Guin|1940|Non-Fiction|Technology|40|0|2026-04-08|Diana Prince|2026-05-12|2026-05-19
Animal Farm|Ursula K Le Guin|1902|Non-Fiction|Travel|41|0|2025-06-25|Edward Norton|2026-05-12|2026-05-19
The Silent Patient|Andy Weir|1914|Fiction|Mystery|42|0|2026-03-11|Charlie Brown|2026-05-12|2026-05-19
Conversations with Friends|Yuval Noah Harari|2015|Fiction|Drama|43|1|2026-02-27|||
The Goldfinch|Kurt Vonnegut|2017|Non-Fiction|Science|44|1|2026-05-05|||
Mistborn|Charlotte Bronte|1917|Fiction|HistoricalFiction|45|0|2025-08-24|Fiona Gallagher|2026-05-12|2026-05-19
Pride and Prejudice|Yann Martel|1927|Fiction|Mystery|46|0|2025-12-16|Diana Prince|2026-05-12|2026-05-19
Normal People|Aldous Huxley|2024|Fiction|Drama|47|1|2025-12-22|||
Mistborn|George Orwell|1915|Non-Fiction|History|48|0|2026-03-16|Edward Norton|2026-05-12|2026-05-19
Blood Meridian|Dan Brown|1975|Non-Fiction|Other|49|1|2025-08-23|||
The Old Man and the Sea|Patrick Rothfuss|1970|Fiction|Crime|50|0|2026-05-05|Fiona Gallagher|2026-05-12|2026-05-19
Animal Farm|Charles Dickens|1932|Fiction|Crime|51|0|2026-02-21|Fiona Gallagher|2026-05-12|2026-05-19
The Lord of the Rings|Alex Michaelides|1971|Non-Fiction|Autobiography|52|0|2025-09-08|Bob Jones|2026-04-22|2026-04-29
Alias Grace|Ernest Hemingway|1925|Fiction|YoungAdult|53|0|2025-10-22|Charlie Brown|2026-05-12|2026-05-19
Anansi Boys|George RR Martin|1953|Non-Fiction|Health|54|1|2026-04-27|||
Stardust|Tara Westover|1931|Fiction|Mystery|55|1|2025-08-05|||
A Game of Thrones|Richard Powers|1999|Fiction|Mystery|56|1|2025-05-29|||
The Sirens of Titan|CS Lewis|1999|Fiction|YoungAdult|57|0|2025-08-28|George Costanza|2026-05-12|2026-05-19
The Seven Husbands of Evelyn Hugo|Gillian Flynn|2011|Fiction|SliceOfLife|58|1|2026-03-18|||
The Lost Symbol|Cormac McCarthy|1971|Non-Fiction|Autobiography|59|0|2026-04-01|Fiona Gallagher|2026-05-12|2026-05-19
Hamilton|Joe Abercrombie|1938|Non-Fiction|Philosophy|60|0|2025-09-18|Diana Prince|2026-05-12|2026-05-19
Stardust|Khaled Hosseini|1986|Non-Fiction|Psychology|61|0|2025-08-06|Alice Smith|2026-05-12|2026-05-19
Oryx and Crake|Yann Martel|1921|Non-Fiction|Politics|62|1|2025-08-08|||
Malibu Rising|Khaled Hosseini|1986|Fiction|SciFi|63|1|2025-12-01|||
The Girl with the Dragon Tattoo|Taylor Jenkins Reid|2021|Fiction|SciFi|64|1|2025-07-25|||
Malibu Rising|Dan Brown|1927|Fiction|Other|65|1|2026-03-27|||
A Farewell to Arms|Emily Bronte|2014|Non-Fiction|Science|66|0|2025-08-24|Bob Jones|2026-05-12|2026-05-19
Artemis|Donna Tartt|1936|Non-Fiction|Religion|67|1|2025-11-09|||
Breakfast of Champions|Donna Tartt|2024|Non-Fiction|Politics|68|1|2025-12-08|||
The Odyssey|Charlotte Bronte|1976|Fiction|Drama|69|0|2025-08-28|Charlie Brown|2026-05-12|2026-05-19
Homo Deus|Andy Weir|1975|Fiction|Romance|70|1|2026-01-19|||
The Book Thief|Madeline Miller|1936|Non-Fiction|Memoir|71|1|2026-04-29|||
The Martian|Jane Austen|1978|Fiction|Horror|72|0|2026-01-06|Charlie Brown|2026-04-22|2026-04-29
